,clip,old_start,old_end,new_start,new_end
1,88LcRU7uEFE_001348,3.5,3.9,3.1,3.9
3,bFGmOp9H3MA_003301,3.1,5.3,3.5,5.3
4,f482qwPz7ns_004500,4.3,4.7,4.0,4.7
6,gXezhrOijmQ_005750,4.5,6.1,3.4,7.3
9,IOoVklIZLMw_005100,4.4,9.2,4.0,9.2
10,JkYzYrJpSoQ_004958,1.5,2.8,1.6,6.8
11,kjVywUi1WK4_003502,0.1,2.0,0.0,4.6
12,LfKfK4I5RPE_004721,4.4,6.4,2.8,6.4
13,mrIFkGZbNjc_003577,3.6,5.4,2.0,7.1
15,OWtbKblBOKI_002215,3.5,6.1,3.0,4.9
17,Q7VBPeGwJWw_001964,3.6,8.3,4.3,11.0
18,Q7VBPeGwJWw_002431,3.5,4.0,3.1,4.0
19,QERvirE3S5s_004340,3.9,6.7,4.3,6.3
20,qzMjfBx1KI0_003477,3.5,5.7,2.9,9.5
21,Sihe6aeyLHg_006155,4.5,5.7,4.0,6.3
22,T7TkJVmGyts_003165,4.0,6.1,3.7,6.1
24,TNZv-NBcV5U_002002,2.7,5.9,2.4,6.2
25,TNZv-NBcV5U_002242,3.3,4.9,1.5,6.5
26,TNZv-NBcV5U_003566,2.7,4.4,2.4,4.4
27,TNZv-NBcV5U_004020,3.5,4.9,3.0,6.4
28,TNZv-NBcV5U_004857,3.9,5.4,3.0,5.3
29,Tsl84N96WM8_000341,4.9,5.2,4.6,7.0
30,ujVRDgGVzlQ_001536,3.1,4.2,2.0,4.2
31,UKBuDqU8qTM_000481,3.9,4.1,3.9,10.8
32,uO2zGO5ydBc_005037,3.7,6.1,3.7,8.2
33,V3--0ubJkNE_003878,2.6,4.2,3.2,4.2
34,vdLn-qswnRo_002696,3.2,5.3,3.0,7.1
35,Vtpe3HAIEm4_005072,4.5,6.8,3.7,7.1
36,xpOyD-qrQUw_003463,2.9,4.6,3.0,4.5
37,xVfPBzDnI2Q_000760,2.5,4.8,2.5,7.8
38,YBEYOS3A3Ic_004656,3.0,4.8,2.6,5.1
39,YBEYOS3A3Ic_005673,2.6,5.8,2.6,6.2
40,Z9K13eBUwJM_001323,1.6,5.3,1.5,4.7
